Feb 03, 2020  03:01:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 36.80,   7.21E-011, 
 36.90,   1.15E-010, 
 37.00,   2.15E-010, 
 37.10,   2.63E-010, 
 37.20,   2.44E-010, 
 37.30,   1.94E-010, 
 37.40,   1.16E-010, 
 37.50,   6.51E-011, 
 37.60,   8.61E-011, 
 37.70,   1.22E-010, 
 37.80,   1.18E-010, 
 37.90,   9.17E-011, 
 38.00,   7.70E-011, 
 38.10,   1.62E-010, 
 38.20,   2.75E-010, 
 38.30,   2.39E-010, 
 38.40,   1.32E-010, 
 38.50,   1.05E-010, 
 38.60,   1.18E-010, 
 38.70,   2.24E-010, 
 38.80,   2.22E-010, 
 38.90,   2.94E-010, 
 39.00,   3.70E-010, 
 39.10,   3.95E-010, 
 39.20,   4.74E-010, 
 39.30,   5.15E-010, 
 39.40,   5.25E-010, 
 39.50,   4.37E-010, 
 39.60,   2.76E-010, 
 39.70,   2.03E-010, 
 39.80,   2.92E-010, 
 39.90,   3.44E-010, 
 40.00,   4.03E-010, 
 40.10,   4.17E-010, 
 40.20,   4.41E-010, 
 40.30,   4.33E-010, 
 40.40,   3.89E-010, 
 40.50,   2.77E-010, 
 40.60,   3.05E-010, 
 40.70,   2.90E-010, 
 40.80,   3.70E-010, 
 40.90,   4.81E-010, 
 41.00,   6.79E-010, 
 41.10,   7.19E-010, 
 41.20,   8.00E-010, 
 41.30,   8.31E-010, 
 41.40,   7.62E-010, 
 41.50,   5.16E-010, 
 41.60,   3.31E-010, 
 41.70,   3.61E-010, 
 41.80,   2.67E-010, 
 41.90,   2.73E-010, 
 42.00,   4.36E-010, 
 42.10,   4.33E-010, 
 42.20,   3.75E-010, 
 42.30,   4.41E-010, 
 42.40,   4.54E-010, 
 42.50,   3.61E-010, 
 42.60,   2.53E-010, 
 42.70,   2.72E-010, 
 42.80,   4.12E-010, 
 42.90,   5.04E-010, 
 43.00,   7.49E-010, 
 43.10,   6.87E-010, 
 43.20,   7.07E-010, 
 43.30,   7.62E-010, 
 43.40,   7.32E-010, 
 43.50,   6.44E-010, 
 43.60,   5.87E-010, 
 43.70,   7.39E-010, 
 43.80,   1.07E-009, 
 43.90,   1.72E-009, 
 44.00,   1.95E-009, 
 44.10,   2.09E-009, 
 44.20,   1.99E-009, 
 44.30,   1.95E-009, 
 44.40,   1.50E-009, 
 44.50,   5.36E-010, 
 44.60,   3.75E-010, 
 44.70,   3.02E-010, 
 44.80,   3.40E-010, 
 44.90,   3.31E-010, 
 45.00,   3.25E-010, 
 45.10,   3.86E-010, 
 45.20,   3.49E-010, 
 45.30,   3.84E-010, 
 45.40,   3.63E-010, 
 45.50,   2.38E-010, 
 45.60,   1.91E-010, 
 45.70,   2.97E-010, 
 45.80,   2.01E-010, 
 45.90,   2.32E-010, 
 46.00,   3.33E-010, 
 46.10,   3.10E-010, 
 46.20,   2.97E-010, 
 46.30,   3.61E-010, 
 46.40,   3.39E-010, 
 46.50,   2.70E-010, 
 46.60,   1.72E-010, 
 46.70,   2.31E-010, 
 46.80,   2.06E-010, 
 46.90,   2.07E-010, 
 47.00,   8.05E-011, 
 47.10,   1.34E-010, 
 47.20,   1.45E-010, 
 47.30,   9.10E-011, 
 47.40,   1.15E-010, 
 47.50,   1.18E-010, 
 47.60,   1.32E-010, 
 47.70,   1.03E-010, 
 47.80,   1.74E-010, 
 47.90,   1.48E-010, 
 48.00,   2.00E-010, 
 48.10,   2.82E-010, 
 48.20,   2.78E-010, 
 48.30,   2.16E-010, 
 48.40,   2.62E-010, 
 48.50,   1.90E-010, 
 48.60,   2.23E-010, 
 48.70,   2.80E-010, 
 48.80,   2.93E-010, 
 48.90,   3.63E-010, 
 49.00,   3.63E-010, 
 49.10,   2.37E-010, 
 49.20,   3.13E-010, 
 49.30,   2.44E-010, 
 49.40,   2.53E-010, 
 49.50,   2.51E-010, 
 49.60,   2.45E-010, 
 49.70,   2.02E-010, 
 49.80,   3.07E-010, 
 49.90,   4.48E-010, 
 50.00,   3.71E-010, 
 50.10,   4.27E-010, 
 50.20,   4.54E-010, 
 50.30,   4.17E-010, 
 50.40,   3.60E-010, 
 50.50,   1.88E-010, 
 50.60,   2.18E-010, 
 50.70,   2.89E-010, 
 50.80,   3.03E-010, 
 50.90,   2.58E-010, 
 51.00,   3.57E-010, 
 51.10,   4.26E-010, 
 51.20,   4.61E-010, 
 51.30,   4.79E-010, 
 51.40,   3.07E-010, 
 51.50,   2.56E-010, 
 51.60,   2.02E-010, 
 51.70,   2.10E-010, 
 51.80,   2.80E-010, 
 51.90,   3.27E-010, 
 52.00,   3.94E-010, 
 52.10,   4.40E-010, 
 52.20,   4.29E-010, 
 52.30,   3.08E-010, 
 52.40,   2.96E-010, 
 52.50,   3.18E-010, 
 52.60,   3.53E-010, 
 52.70,   2.78E-010, 
 52.80,   2.80E-010, 
 52.90,   3.56E-010, 
 53.00,   3.35E-010, 
 53.10,   3.30E-010, 
 53.20,   2.86E-010, 
 53.30,   3.14E-010, 
 53.40,   3.09E-010, 
 53.50,   1.94E-010, 
 53.60,   2.34E-010, 
 53.70,   2.16E-010, 
 53.80,   2.09E-010, 
 53.90,   2.54E-010, 
 54.00,   4.03E-010, 
 54.10,   3.11E-010, 
 54.20,   3.15E-010, 
 54.30,   4.00E-010, 
 54.40,   2.66E-010, 
 54.50,   2.08E-010, 
 54.60,   1.95E-010, 
 54.70,   2.32E-010, 
 54.80,   2.95E-010, 
 54.90,   3.05E-010, 
 55.00,   3.05E-010, 
 55.10,   4.34E-010, 
 55.20,   4.22E-010, 
 55.30,   4.56E-010, 
 55.40,   5.33E-010, 
 55.50,   5.19E-010, 
 55.60,   4.50E-010, 
 55.70,   4.15E-010, 
 55.80,   4.27E-010, 
 55.90,   3.42E-010, 
 56.00,   4.34E-010, 
 56.10,   4.11E-010, 
 56.20,   4.50E-010, 
 56.30,   4.55E-010, 
 56.40,   5.46E-010, 
 56.50,   4.71E-010, 
 56.60,   3.25E-010, 
 56.70,   4.04E-010, 
 56.80,   3.59E-010, 
 56.90,   4.65E-010, 
 57.00,   4.95E-010, 
 57.10,   5.87E-010, 
 57.20,   7.17E-010, 
 57.30,   7.84E-010, 
 57.40,   7.46E-010, 
 57.50,   6.32E-010, 
 57.60,   4.41E-010, 
 57.70,   3.86E-010, 
 57.80,   3.54E-010, 
 57.90,   3.38E-010, 
 58.00,   2.64E-010, 
 58.10,   2.31E-010, 
 58.20,   3.22E-010, 
 58.30,   3.41E-010, 
 58.40,   3.43E-010, 
 58.50,   2.94E-010, 
 58.60,   2.85E-010, 
 58.70,   3.54E-010, 
 58.80,   3.46E-010, 
 58.90,   2.91E-010, 
 59.00,   3.45E-010, 
 59.10,   2.98E-010, 
 59.20,   2.32E-010, 
 59.30,   2.50E-010, 
 59.40,   3.42E-010, 
 59.50,   4.22E-010, 
 59.60,   3.65E-010, 
 59.70,   3.95E-010, 
 59.80,   3.38E-010, 
 59.90,   3.06E-010, 
 60.00,   3.73E-010, 
 60.10,   3.91E-010, 
 60.20,   3.92E-010, 
 60.30,   2.95E-010, 
 60.40,   2.88E-010, 
 60.50,   3.58E-010, 
 60.60,   3.66E-010, 
 60.70,   3.70E-010, 
 60.80,   3.19E-010, 
 60.90,   3.01E-010, 
 61.00,   2.68E-010, 
 61.10,   3.66E-010, 
 61.20,   3.73E-010, 
 61.30,   2.54E-010, 
 61.40,   2.42E-010, 
 61.50,   3.57E-010, 
 61.60,   3.63E-010, 
 61.70,   2.75E-010, 
 61.80,   3.63E-010, 
 61.90,   4.41E-010, 
 62.00,   4.39E-010, 
 62.10,   4.15E-010, 
 62.20,   4.26E-010, 
 62.30,   3.73E-010, 
 62.40,   2.96E-010, 
 62.50,   2.72E-010, 
 62.60,   3.54E-010, 
 62.70,   3.58E-010, 
 62.80,   4.26E-010, 
 62.90,   3.84E-010, 
 63.00,   3.42E-010, 
 63.10,   3.78E-010, 
 63.20,   3.84E-010, 
 63.30,   3.39E-010, 
 63.40,   3.17E-010, 
 63.50,   2.93E-010, 
 63.60,   3.10E-010, 
 63.70,   3.46E-010, 
 63.80,   3.49E-010, 
 63.90,   4.02E-010, 
 64.00,   3.06E-010, 
 64.10,   2.91E-010, 
 64.20,   2.69E-010, 
 64.30,   3.40E-010, 
 64.40,   4.27E-010, 
 64.50,   4.08E-010, 
 64.60,   4.52E-010, 
 64.70,   4.26E-010, 
 64.80,   3.94E-010, 
 64.90,   3.23E-010, 
 65.00,   2.79E-010, 
