Feb 05, 2020  12:52:01 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 37.40,   2.04E-010, 
 37.50,   1.48E-010, 
 37.60,   1.01E-010, 
 37.70,   2.87E-011, 
 37.80,  -3.57E-011, 
 37.90,   9.87E-011, 
 38.00,   1.37E-010, 
 38.10,   1.47E-010, 
 38.20,   1.39E-010, 
 38.30,   7.21E-011, 
 38.40,   1.41E-010, 
 38.50,   1.10E-010, 
 38.60,   1.96E-011, 
 38.70,   7.91E-011, 
 38.80,   1.42E-010, 
 38.90,   2.32E-010, 
 39.00,   3.96E-010, 
 39.10,   4.08E-010, 
 39.20,   4.01E-010, 
 39.30,   4.93E-010, 
 39.40,   5.17E-010, 
 39.50,   3.88E-010, 
 39.60,   2.35E-010, 
 39.70,   2.21E-010, 
 39.80,   2.44E-010, 
 39.90,   2.48E-010, 
 40.00,   2.65E-010, 
 40.10,   2.49E-010, 
 40.20,   2.39E-010, 
 40.30,   1.50E-010, 
 40.40,   7.84E-011, 
 40.50,   1.41E-010, 
 40.60,   9.17E-011, 
 40.70,   1.71E-010, 
 40.80,   1.90E-010, 
 40.90,   3.67E-010, 
 41.00,   4.99E-010, 
 41.10,   6.37E-010, 
 41.20,   8.21E-010, 
 41.30,   7.83E-010, 
 41.40,   6.31E-010, 
 41.50,   6.80E-010, 
 41.60,   4.98E-010, 
 41.70,   2.65E-010, 
 41.80,   1.93E-010, 
 41.90,   2.07E-010, 
 42.00,   2.66E-010, 
 42.10,   3.45E-010, 
 42.20,   3.49E-010, 
 42.30,   3.99E-010, 
 42.40,   4.03E-010, 
 42.50,   3.40E-010, 
 42.60,   2.24E-010, 
 42.70,   1.09E-010, 
 42.80,   1.51E-010, 
 42.90,   2.78E-010, 
 43.00,   4.52E-010, 
 43.10,   6.65E-010, 
 43.20,   1.14E-009, 
 43.30,   9.77E-010, 
 43.40,   6.93E-010, 
 43.50,   6.82E-010, 
 43.60,   5.59E-010, 
 43.70,   5.57E-010, 
 43.80,   7.21E-010, 
 43.90,   1.03E-009, 
 44.00,   1.69E-009, 
 44.10,   1.86E-009, 
 44.20,   2.02E-009, 
 44.30,   2.07E-009, 
 44.40,   1.99E-009, 
 44.50,   1.45E-009, 
 44.60,   5.00E-010, 
 44.70,   2.66E-010, 
 44.80,   2.82E-010, 
 44.90,   2.68E-010, 
 45.00,   2.89E-010, 
 45.10,   3.54E-010, 
 45.20,   3.27E-010, 
 45.30,   3.01E-010, 
 45.40,   2.32E-010, 
 45.50,   2.39E-010, 
 45.60,   3.10E-010, 
 45.70,   3.09E-010, 
 45.80,   1.88E-010, 
 45.90,   2.00E-010, 
 46.00,   1.42E-010, 
 46.10,   1.36E-010, 
 46.20,   7.70E-011, 
 46.30,   1.35E-010, 
 46.40,   4.20E-011, 
 46.50,   8.33E-011, 
 46.60,   5.25E-011, 
 46.70,   1.30E-010, 
 46.80,   1.68E-010, 
 46.90,   2.36E-010, 
 47.00,   1.28E-010, 
 47.10,   1.76E-010, 
 47.20,   1.87E-010, 
 47.30,   2.30E-010, 
 47.40,   2.77E-010, 
 47.50,   2.54E-010, 
 47.60,   2.67E-010, 
 47.70,   1.26E-010, 
 47.80,   6.58E-011, 
 47.90,   1.39E-010, 
 48.00,   1.43E-010, 
 48.10,   1.23E-010, 
 48.20,   2.16E-010, 
 48.30,   2.70E-010, 
 48.40,   1.16E-010, 
 48.50,   1.83E-010, 
 48.60,   2.09E-010, 
 48.70,   2.21E-010, 
 48.80,   1.28E-010, 
 48.90,   2.16E-010, 
 49.00,   1.29E-010, 
 49.10,   3.85E-011, 
 49.20,   9.31E-011, 
 49.30,   2.08E-010, 
 49.40,   1.89E-010, 
 49.50,   1.97E-010, 
 49.60,   7.63E-011, 
 49.70,   1.40E-010, 
 49.80,   2.78E-010, 
 49.90,   2.19E-010, 
 50.00,   1.65E-010, 
 50.10,   1.59E-010, 
 50.20,   2.19E-010, 
 50.30,   2.16E-010, 
 50.40,   2.84E-010, 
 50.50,   2.16E-010, 
 50.60,   1.46E-010, 
 50.70,   1.02E-010, 
 50.80,   1.25E-010, 
 50.90,   2.54E-010, 
 51.00,   2.15E-010, 
 51.10,   2.43E-010, 
 51.20,   2.54E-010, 
 51.30,   2.07E-010, 
 51.40,   1.87E-010, 
 51.50,   2.09E-010, 
 51.60,   2.66E-010, 
 51.70,   2.95E-010, 
 51.80,   2.25E-010, 
 51.90,   3.47E-010, 
 52.00,   2.12E-010, 
 52.10,   1.77E-010, 
 52.20,   1.69E-010, 
 52.30,   1.95E-010, 
 52.40,   2.06E-010, 
 52.50,   3.75E-010, 
 52.60,   2.74E-010, 
 52.70,   1.59E-010, 
 52.80,   2.38E-010, 
 52.90,   3.09E-010, 
 53.00,   2.42E-010, 
 53.10,   2.30E-010, 
 53.20,   2.43E-010, 
 53.30,   3.31E-010, 
 53.40,   2.80E-010, 
 53.50,   2.54E-010, 
 53.60,   2.81E-010, 
 53.70,   4.36E-010, 
 53.80,   2.87E-010, 
 53.90,   2.20E-010, 
 54.00,   2.32E-010, 
 54.10,   2.53E-010, 
 54.20,   3.43E-010, 
 54.30,   3.31E-010, 
 54.40,   3.47E-010, 
 54.50,   3.67E-010, 
 54.60,   3.49E-010, 
 54.70,   2.31E-010, 
 54.80,   1.74E-010, 
 54.90,   3.47E-010, 
 55.00,   3.28E-010, 
 55.10,   2.51E-010, 
 55.20,   3.05E-010, 
 55.30,   3.77E-010, 
 55.40,   4.33E-010, 
 55.50,   4.77E-010, 
 55.60,   3.89E-010, 
 55.70,   2.54E-010, 
 55.80,   2.16E-010, 
 55.90,   2.11E-010, 
 56.00,   2.96E-010, 
 56.10,   4.26E-010, 
 56.20,   4.25E-010, 
 56.30,   3.79E-010, 
 56.40,   3.54E-010, 
 56.50,   5.01E-010, 
 56.60,   4.60E-010, 
 56.70,   3.00E-010, 
 56.80,   2.47E-010, 
 56.90,   2.70E-010, 
 57.00,   2.61E-010, 
 57.10,   4.15E-010, 
 57.20,   4.73E-010, 
 57.30,   4.90E-010, 
 57.40,   5.23E-010, 
 57.50,   5.60E-010, 
 57.60,   4.16E-010, 
 57.70,   3.22E-010, 
 57.80,   3.18E-010, 
 57.90,   2.63E-010, 
 58.00,   2.90E-010, 
 58.10,   3.22E-010, 
 58.20,   3.88E-010, 
 58.30,   5.01E-010, 
 58.40,   4.43E-010, 
 58.50,   3.40E-010, 
 58.60,   2.76E-010, 
 58.70,   2.69E-010, 
 58.80,   3.19E-010, 
 58.90,   4.01E-010, 
 59.00,   3.64E-010, 
 59.10,   3.03E-010, 
 59.20,   2.87E-010, 
 59.30,   3.21E-010, 
 59.40,   1.98E-010, 
 59.50,   1.47E-010, 
 59.60,   2.02E-010, 
 59.70,   2.04E-010, 
 59.80,   6.65E-011, 
 59.90,   1.00E-010, 
 60.00,   1.26E-010, 
 60.10,   1.47E-010, 
 60.20,   1.59E-010, 
 60.30,   2.37E-010, 
 60.40,   2.20E-010, 
 60.50,   3.23E-010, 
 60.60,   2.47E-010, 
 60.70,   2.49E-010, 
 60.80,   1.65E-010, 
 60.90,   1.32E-010, 
 61.00,   2.39E-010, 
 61.10,   3.13E-010, 
 61.20,   2.28E-010, 
 61.30,   2.74E-010, 
 61.40,   3.50E-010, 
 61.50,   3.72E-010, 
 61.60,   4.29E-010, 
 61.70,   3.87E-010, 
 61.80,   2.96E-010, 
 61.90,   2.09E-010, 
 62.00,   3.49E-010, 
 62.10,   3.26E-010, 
 62.20,   3.37E-010, 
 62.30,   2.09E-010, 
 62.40,   1.87E-010, 
 62.50,   2.11E-010, 
 62.60,   2.24E-010, 
 62.70,   3.03E-010, 
 62.80,   2.55E-010, 
 62.90,   2.49E-010, 
 63.00,   2.64E-010, 
 63.10,   2.66E-010, 
 63.20,   2.52E-010, 
 63.30,   3.00E-010, 
 63.40,   2.75E-010, 
 63.50,   2.88E-010, 
 63.60,   3.63E-010, 
 63.70,   3.74E-010, 
 63.80,   3.14E-010, 
 63.90,   2.79E-010, 
 64.00,   2.34E-010, 
 64.10,   1.65E-010, 
 64.20,   1.41E-010, 
 64.30,   2.75E-010, 
 64.40,   3.43E-010, 
 64.50,   3.62E-010, 
 64.60,   2.12E-010, 
 64.70,   2.48E-010, 
 64.80,   2.39E-010, 
 64.90,   2.83E-010, 
 65.00,   2.11E-010, 
