Feb 05, 2020  12:41:58 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 25.70,   8.54E-011, 
 25.80,   1.03E-010, 
 25.90,   2.58E-010, 
 26.00,   2.66E-010, 
 26.10,   2.72E-010, 
 26.20,   3.12E-010, 
 26.30,   4.08E-010, 
 26.40,   3.86E-010, 
 26.50,   3.26E-010, 
 26.60,   2.47E-010, 
 26.70,   1.41E-010, 
 26.80,   2.14E-010, 
 26.90,   3.41E-010, 
 27.00,   5.04E-010, 
 27.10,   6.81E-010, 
 27.20,   7.38E-010, 
 27.30,   8.52E-010, 
 27.40,   1.23E-009, 
 27.50,   7.20E-010, 
 27.60,   8.30E-010, 
 27.70,   1.45E-009, 
 27.80,   2.48E-009, 
 27.90,   3.95E-009, 
 28.00,   5.52E-009, 
 28.10,   6.39E-009, 
 28.20,   6.85E-009, 
 28.30,   6.71E-009, 
 28.40,   5.96E-009, 
 28.50,   3.93E-009, 
 28.60,   2.16E-009, 
 28.70,   1.33E-009, 
 28.80,   6.54E-010, 
 28.90,   6.69E-010, 
 29.00,   8.29E-010, 
 29.10,   1.46E-009, 
 29.20,   1.36E-009, 
 29.30,   1.11E-009, 
 29.40,   7.53E-010, 
 29.50,   5.62E-010, 
 29.60,   3.38E-010, 
 29.70,   1.80E-010, 
 29.80,   1.13E-010, 
 29.90,   1.56E-010, 
 30.00,   6.93E-011, 
 30.10,   2.32E-010, 
 30.20,   2.95E-010, 
 30.30,   2.93E-010, 
 30.40,   2.24E-010, 
 30.50,   1.42E-010, 
 30.60,   1.53E-010, 
 30.70,   1.25E-010, 
 30.80,   1.19E-010, 
 30.90,   6.86E-011, 
 31.00,   1.72E-010, 
 31.10,   1.45E-010, 
 31.20,   1.81E-010, 
 31.30,   2.05E-010, 
 31.40,   2.75E-010, 
 31.50,   2.63E-010, 
 31.60,   3.77E-010, 
 31.70,   5.03E-010, 
 31.80,   7.46E-010, 
 31.90,   1.35E-009, 
 32.00,   1.88E-009, 
 32.10,   2.12E-009, 
 32.20,   2.17E-009, 
 32.30,   2.10E-009, 
 32.40,   1.93E-009, 
 32.50,   1.23E-009, 
 32.60,   3.96E-010, 
 32.70,   2.44E-010, 
 32.80,   1.84E-010, 
 32.90,   2.80E-010, 
 33.00,   2.51E-010, 
 33.10,   1.85E-010, 
 33.20,   1.74E-010, 
 33.30,   8.89E-011, 
 33.40,   1.75E-011, 
 33.50,  -3.15E-011, 
 33.60,  -1.54E-011, 
 33.70,   2.80E-011, 
 33.80,   1.47E-010, 
 33.90,   1.86E-010, 
 34.00,   1.28E-010, 
 34.10,   1.48E-010, 
 34.20,   1.37E-010, 
 34.30,   5.67E-011, 
 34.40,   2.38E-011, 
 34.50,  -1.12E-011, 
 34.60,  -2.17E-011, 
 34.70,  -6.72E-011, 
 34.80,  -2.80E-012, 
 34.90,   4.55E-011, 
 35.00,   7.00E-013, 
 35.10,   2.38E-011, 
 35.20,   6.58E-011, 
 35.30,   1.61E-010, 
 35.40,   1.69E-010, 
 35.50,   5.11E-011, 
 35.60,   9.17E-011, 
 35.70,   5.60E-011, 
 35.80,   4.55E-011, 
 35.90,  -1.75E-011, 
 36.00,   5.95E-011, 
 36.10,   1.74E-010, 
 36.20,   2.25E-010, 
 36.30,   1.81E-010, 
 36.40,   9.45E-011, 
 36.50,   3.43E-011, 
 36.60,  -2.80E-012, 
 36.70,   5.88E-011, 
 36.80,   6.30E-011, 
 36.90,   9.17E-011, 
 37.00,   1.46E-010, 
 37.10,   1.91E-010, 
 37.20,   1.88E-010, 
 37.30,   1.11E-010, 
 37.40,   1.37E-010, 
 37.50,   1.18E-010, 
 37.60,   8.75E-011, 
 37.70,   1.16E-010, 
 37.80,   1.27E-010, 
 37.90,   1.80E-010, 
 38.00,   2.28E-010, 
 38.10,   2.88E-010, 
 38.20,   2.69E-010, 
 38.30,   2.76E-010, 
 38.40,   2.08E-010, 
 38.50,   2.00E-010, 
 38.60,   1.94E-010, 
 38.70,   1.06E-010, 
 38.80,   1.86E-010, 
 38.90,   3.26E-010, 
 39.00,   4.15E-010, 
 39.10,   5.09E-010, 
 39.20,   6.30E-010, 
 39.30,   6.95E-010, 
 39.40,   5.29E-010, 
 39.50,   5.10E-010, 
 39.60,   3.77E-010, 
 39.70,   3.95E-010, 
 39.80,   4.16E-010, 
 39.90,   3.86E-010, 
 40.00,   3.59E-010, 
 40.10,   4.12E-010, 
 40.20,   4.61E-010, 
 40.30,   3.96E-010, 
 40.40,   3.18E-010, 
 40.50,   3.78E-010, 
 40.60,   3.42E-010, 
 40.70,   3.27E-010, 
 40.80,   4.66E-010, 
 40.90,   5.86E-010, 
 41.00,   7.82E-010, 
 41.10,   8.86E-010, 
 41.20,   1.24E-009, 
 41.30,   1.38E-009, 
 41.40,   1.37E-009, 
 41.50,   9.24E-010, 
 41.60,   4.69E-010, 
 41.70,   3.31E-010, 
 41.80,   3.40E-010, 
 41.90,   3.81E-010, 
 42.00,   4.41E-010, 
 42.10,   5.01E-010, 
 42.20,   6.06E-010, 
 42.30,   6.19E-010, 
 42.40,   6.67E-010, 
 42.50,   6.20E-010, 
 42.60,   4.96E-010, 
 42.70,   4.63E-010, 
 42.80,   4.62E-010, 
 42.90,   4.34E-010, 
 43.00,   5.39E-010, 
 43.10,   6.97E-010, 
 43.20,   9.19E-010, 
 43.30,   1.41E-009, 
 43.40,   1.36E-009, 
 43.50,   8.06E-010, 
 43.60,   6.62E-010, 
 43.70,   7.09E-010, 
 43.80,   8.40E-010, 
 43.90,   1.59E-009, 
 44.00,   1.93E-009, 
 44.10,   2.17E-009, 
 44.20,   2.31E-009, 
 44.30,   2.42E-009, 
 44.40,   2.34E-009, 
 44.50,   1.94E-009, 
 44.60,   1.18E-009, 
 44.70,   5.40E-010, 
 44.80,   4.10E-010, 
 44.90,   3.96E-010, 
 45.00,   4.73E-010, 
 45.10,   5.30E-010, 
 45.20,   4.79E-010, 
 45.30,   5.30E-010, 
 45.40,   5.16E-010, 
 45.50,   4.27E-010, 
 45.60,   3.33E-010, 
 45.70,   2.90E-010, 
 45.80,   1.57E-010, 
 45.90,   1.04E-010, 
 46.00,   4.41E-011, 
 46.10,   1.51E-010, 
 46.20,   1.08E-010, 
 46.30,   1.00E-010, 
 46.40,   6.30E-011, 
 46.50,   1.47E-010, 
 46.60,   1.45E-010, 
 46.70,   9.59E-011, 
 46.80,   3.64E-011, 
 46.90,   9.73E-011, 
 47.00,   1.42E-010, 
 47.10,   1.28E-010, 
 47.20,   1.41E-010, 
 47.30,   2.35E-010, 
 47.40,   1.87E-010, 
 47.50,   1.02E-010, 
 47.60,   8.82E-011, 
 47.70,   8.12E-011, 
 47.80,   9.17E-011, 
 47.90,   1.09E-010, 
 48.00,   2.54E-010, 
 48.10,   2.08E-010, 
 48.20,   1.11E-010, 
 48.30,   8.82E-011, 
 48.40,   6.58E-011, 
 48.50,   6.30E-012, 
 48.60,   6.37E-011, 
 48.70,   8.82E-011, 
 48.80,   1.46E-010, 
 48.90,   1.72E-010, 
 49.00,   1.74E-010, 
 49.10,   1.65E-010, 
 49.20,   1.08E-010, 
 49.30,   1.86E-010, 
 49.40,   1.46E-010, 
 49.50,   1.60E-010, 
 49.60,   2.67E-010, 
 49.70,   2.89E-010, 
 49.80,   3.42E-010, 
 49.90,   2.75E-010, 
 50.00,   2.15E-010, 
 50.10,   2.21E-010, 
 50.20,   4.00E-010, 
 50.30,   4.81E-010, 
 50.40,   3.98E-010, 
 50.50,   3.66E-010, 
 50.60,   3.47E-010, 
 50.70,   3.62E-010, 
 50.80,   3.12E-010, 
 50.90,   3.28E-010, 
 51.00,   4.24E-010, 
 51.10,   4.42E-010, 
 51.20,   4.04E-010, 
 51.30,   4.19E-010, 
 51.40,   4.08E-010, 
 51.50,   5.15E-010, 
 51.60,   5.01E-010, 
 51.70,   4.34E-010, 
 51.80,   3.56E-010, 
 51.90,   2.74E-010, 
 52.00,   2.96E-010, 
 52.10,   2.81E-010, 
 52.20,   3.12E-010, 
 52.30,   2.87E-010, 
 52.40,   2.65E-010, 
 52.50,   2.17E-010, 
 52.60,   2.31E-010, 
 52.70,   2.30E-010, 
 52.80,   2.42E-010, 
 52.90,   2.01E-010, 
 53.00,   2.25E-010, 
 53.10,   3.17E-010, 
 53.20,   3.60E-010, 
 53.30,   3.21E-010, 
 53.40,   1.72E-010, 
 53.50,   9.24E-011, 
 53.60,   8.26E-011, 
 53.70,   1.19E-010, 
 53.80,   1.97E-010, 
 53.90,   1.22E-010, 
 54.00,   1.23E-010, 
 54.10,   1.53E-010, 
 54.20,   1.68E-010, 
 54.30,   2.67E-010, 
 54.40,   4.06E-010, 
 54.50,   4.11E-010, 
 54.60,   4.04E-010, 
 54.70,   4.22E-010, 
 54.80,   3.61E-010, 
 54.90,   2.61E-010, 
 55.00,   2.18E-010, 
 55.10,   3.33E-010, 
 55.20,   5.31E-010, 
 55.30,   6.48E-010, 
 55.40,   6.81E-010, 
 55.50,   7.07E-010, 
 55.60,   5.27E-010, 
 55.70,   1.97E-010, 
 55.80,   2.22E-010, 
 55.90,   2.91E-010, 
 56.00,   2.98E-010, 
 56.10,   4.03E-010, 
 56.20,   5.83E-010, 
 56.30,   6.00E-010, 
 56.40,   4.78E-010, 
 56.50,   4.66E-010, 
 56.60,   4.53E-010, 
 56.70,   4.78E-010, 
 56.80,   4.78E-010, 
 56.90,   4.64E-010, 
 57.00,   5.11E-010, 
 57.10,   6.72E-010, 
 57.20,   8.40E-010, 
 57.30,   1.10E-009, 
 57.40,   1.05E-009, 
 57.50,   8.88E-010, 
 57.60,   8.79E-010, 
 57.70,   6.51E-010, 
 57.80,   5.23E-010, 
 57.90,   4.90E-010, 
 58.00,   4.23E-010, 
 58.10,   4.43E-010, 
 58.20,   3.54E-010, 
 58.30,   4.38E-010, 
 58.40,   5.08E-010, 
 58.50,   4.67E-010, 
 58.60,   4.52E-010, 
 58.70,   3.80E-010, 
 58.80,   2.78E-010, 
 58.90,   3.00E-010, 
 59.00,   3.57E-010, 
 59.10,   3.52E-010, 
 59.20,   4.47E-010, 
 59.30,   4.33E-010, 
 59.40,   5.15E-010, 
 59.50,   4.63E-010, 
 59.60,   5.08E-010, 
 59.70,   5.38E-010, 
 59.80,   5.04E-010, 
 59.90,   4.96E-010, 
 60.00,   3.75E-010, 
 60.10,   3.10E-010, 
 60.20,   2.77E-010, 
 60.30,   2.98E-010, 
 60.40,   3.66E-010, 
 60.50,   3.27E-010, 
 60.60,   3.67E-010, 
 60.70,   3.52E-010, 
 60.80,   3.92E-010, 
 60.90,   4.97E-010, 
 61.00,   4.90E-010, 
 61.10,   4.74E-010, 
 61.20,   4.37E-010, 
 61.30,   4.54E-010, 
 61.40,   3.26E-010, 
 61.50,   3.54E-010, 
 61.60,   3.39E-010, 
 61.70,   4.01E-010, 
 61.80,   4.10E-010, 
 61.90,   3.04E-010, 
 62.00,   3.09E-010, 
 62.10,   2.28E-010, 
 62.20,   1.44E-010, 
 62.30,   1.93E-010, 
 62.40,   1.82E-010, 
 62.50,   2.79E-010, 
 62.60,   3.19E-010, 
 62.70,   2.91E-010, 
 62.80,   2.93E-010, 
 62.90,   2.37E-010, 
 63.00,   2.42E-010, 
 63.10,   2.82E-010, 
 63.20,   3.62E-010, 
 63.30,   4.31E-010, 
 63.40,   3.90E-010, 
 63.50,   3.58E-010, 
 63.60,   3.69E-010, 
 63.70,   2.85E-010, 
 63.80,   3.45E-010, 
 63.90,   4.38E-010, 
 64.00,   3.52E-010, 
 64.10,   3.09E-010, 
 64.20,   2.90E-010, 
 64.30,   3.46E-010, 
 64.40,   4.10E-010, 
 64.50,   4.09E-010, 
 64.60,   5.50E-010, 
 64.70,   5.02E-010, 
 64.80,   3.43E-010, 
 64.90,   3.43E-010, 
 65.00,   3.67E-010, 
