Feb 05, 2020  12:40:19 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 55.10,   4.97E-010, 
 55.20,   6.56E-010, 
 55.30,   6.71E-010, 
 55.40,   1.11E-009, 
 55.50,   9.66E-010, 
 55.60,   7.16E-010, 
 55.70,   4.61E-010, 
 55.80,   2.94E-010, 
 55.90,   3.03E-010, 
 56.00,   3.49E-010, 
 56.10,   4.61E-010, 
 56.20,   5.40E-010, 
 56.30,   7.64E-010, 
 56.40,   1.06E-009, 
 56.50,   7.81E-010, 
 56.60,   4.80E-010, 
 56.70,   4.12E-010, 
 56.80,   3.82E-010, 
 56.90,   3.97E-010, 
 57.00,   4.64E-010, 
 57.10,   7.82E-010, 
 57.20,   1.38E-009, 
 57.30,   1.43E-009, 
 57.40,   1.50E-009, 
 57.50,   1.44E-009, 
 57.60,   1.37E-009, 
 57.70,   8.87E-010, 
 57.80,   3.27E-010, 
 57.90,   1.97E-010, 
 58.00,   1.75E-010, 
 58.10,   5.60E-011, 
 58.20,   4.55E-011, 
 58.30,   1.25E-010, 
 58.40,   7.98E-011, 
 58.50,   3.29E-011, 
 58.60,   7.98E-011, 
 58.70,   6.30E-011, 
 58.80,   1.12E-010, 
 58.90,  -2.17E-011, 
 59.00,   2.03E-011, 
 59.10,   1.45E-010, 
 59.20,   1.62E-010, 
 59.30,   5.18E-011, 
 59.40,   7.84E-011, 
 59.50,   2.17E-011, 
 59.60,   7.56E-011, 
 59.70,   1.46E-010, 
 59.80,   1.71E-010, 
 59.90,   1.16E-010, 
 60.00,   1.32E-010, 
 60.10,   1.71E-010, 
 60.20,   1.95E-010, 
 60.30,   1.33E-010, 
 60.40,   1.19E-010, 
 60.50,   1.55E-010, 
 60.60,   5.95E-011, 
 60.70,   7.84E-011, 
 60.80,   1.60E-010, 
 60.90,   2.07E-010, 
 61.00,   1.20E-010, 
 61.10,   2.30E-010, 
 61.20,   1.81E-010, 
 61.30,   2.04E-010, 
 61.40,   2.35E-010, 
 61.50,   2.77E-010, 
 61.60,   2.11E-010, 
 61.70,   1.36E-010, 
 61.80,  -1.26E-011, 
 61.90,   4.48E-011, 
 62.00,   1.90E-010, 
 62.10,   1.81E-010, 
 62.20,   1.30E-010, 
 62.30,   2.35E-010, 
 62.40,   3.54E-010, 
 62.50,   2.86E-010, 
 62.60,   2.20E-010, 
 62.70,   3.40E-010, 
 62.80,   3.66E-010, 
 62.90,   3.23E-010, 
 63.00,   3.94E-010, 
 63.10,   5.76E-010, 
 63.20,   7.81E-010, 
 63.30,   1.08E-009, 
 63.40,   9.92E-010, 
 63.50,   1.04E-009, 
 63.60,   8.09E-010, 
 63.70,   4.22E-010, 
 63.80,   4.53E-010, 
 63.90,   4.84E-010, 
 64.00,   1.05E-009, 
 64.10,   1.46E-009, 
 64.20,   1.86E-009, 
 64.30,   2.27E-009, 
 64.40,   2.53E-009, 
 64.50,   2.55E-009, 
 64.60,   2.63E-009, 
 64.70,   2.59E-009, 
 64.80,   2.94E-009, 
 64.90,   4.49E-009, 
 65.00,   7.94E-009, 
