Feb 03, 2020  02:22:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 33.00,   2.92E-009, 
 33.10,   2.80E-009, 
 33.20,   2.60E-009, 
 33.30,   2.34E-009, 
 33.40,   1.93E-009, 
 33.50,   1.48E-009, 
 33.60,   1.49E-009, 
 33.70,   2.09E-009, 
 33.80,   3.52E-009, 
 33.90,   5.63E-009, 
 34.00,   7.50E-009, 
 34.10,   8.31E-009, 
 34.20,   8.52E-009, 
 34.30,   7.77E-009, 
 34.40,   6.35E-009, 
 34.50,   3.28E-009, 
 34.60,   1.63E-009, 
 34.70,   6.77E-010, 
 34.80,   1.95E-010, 
 34.90,   1.14E-010, 
 35.00,   6.23E-011, 
 35.10,   4.76E-011, 
 35.20,   3.99E-011, 
 35.30,   4.62E-011, 
 35.40,   2.31E-011, 
 35.50,   3.99E-011, 
 35.60,   1.93E-010, 
 35.70,   4.02E-010, 
 35.80,   8.31E-010, 
 35.90,   1.50E-009, 
 36.00,   1.63E-009, 
 36.10,   1.76E-009, 
 36.20,   1.83E-009, 
 36.30,   1.62E-009, 
 36.40,   1.21E-009, 
 36.50,   2.37E-010, 
 36.60,   1.02E-010, 
 36.70,  -2.17E-011, 
 36.80,   1.96E-011, 
 36.90,   1.09E-010, 
 37.00,   1.04E-010, 
 37.10,   1.54E-011, 
 37.20,   1.09E-010, 
 37.30,   1.46E-010, 
 37.40,   1.32E-010, 
 37.50,   3.36E-011, 
 37.60,  -1.43E-010, 
 37.70,  -4.06E-011, 
 37.80,   1.32E-010, 
 37.90,   2.91E-010, 
 38.00,   4.52E-010, 
 38.10,   5.65E-010, 
 38.20,   6.87E-010, 
 38.30,   1.01E-009, 
 38.40,   8.36E-010, 
 38.50,   5.34E-010, 
 38.60,   1.03E-009, 
 38.70,   1.93E-009, 
 38.80,   4.38E-009, 
 38.90,   8.48E-009, 
 39.00,   1.58E-008, 
 39.10,   3.26E-008, 
 39.20,   6.51E-008, 
 39.30,   1.20E-007, 
 39.40,   2.89E-007, 
 39.50,   7.56E-007, 
 39.60,   1.08E-006, 
 39.70,   1.83E-006, 
 39.80,   3.27E-006, 
 39.90,   4.05E-006, 
 40.00,   4.49E-006, 
 40.10,   4.86E-006, 
 40.20,   4.44E-006, 
 40.30,   4.23E-006, 
 40.40,   9.95E-007, 
 40.50,   6.51E-008, 
 40.60,   1.92E-008, 
 40.70,   1.01E-008, 
 40.80,   7.04E-009, 
 40.90,   6.61E-009, 
 41.00,   6.85E-009, 
 41.10,   7.24E-009, 
 41.20,   7.45E-009, 
 41.30,   7.37E-009, 
 41.40,   6.91E-009, 
 41.50,   4.99E-009, 
 41.60,   3.30E-009, 
 41.70,   2.92E-009, 
 41.80,   3.06E-009, 
 41.90,   3.80E-009, 
 42.00,   4.90E-009, 
 42.10,   5.78E-009, 
 42.20,   6.22E-009, 
 42.30,   6.13E-009, 
 42.40,   5.75E-009, 
 42.50,   3.99E-009, 
 42.60,   2.64E-009, 
 42.70,   2.31E-009, 
 42.80,   2.61E-009, 
 42.90,   3.46E-009, 
 43.00,   4.55E-009, 
 43.10,   5.64E-009, 
 43.20,   7.14E-009, 
 43.30,   8.78E-009, 
 43.40,   1.12E-008, 
 43.50,   1.93E-008, 
 43.60,   4.47E-008, 
 43.70,   6.95E-008, 
 43.80,   1.19E-007, 
 43.90,   1.78E-007, 
 44.00,   1.96E-007, 
 44.10,   2.13E-007, 
 44.20,   1.93E-007, 
 44.30,   1.83E-007, 
 44.40,   1.16E-007, 
 44.50,   2.71E-008, 
 44.60,   1.04E-008, 
 44.70,   6.51E-009, 
 44.80,   5.32E-009, 
 44.90,   5.63E-009, 
 45.00,   6.35E-009, 
 45.10,   6.37E-009, 
 45.20,   6.16E-009, 
 45.30,   5.37E-009, 
 45.40,   4.73E-009, 
 45.50,   3.15E-009, 
 45.60,   1.79E-009, 
 45.70,   1.20E-009, 
 45.80,   7.56E-010, 
 45.90,   4.94E-010, 
 46.00,   5.65E-010, 
 46.10,   5.02E-010, 
 46.20,   5.19E-010, 
 46.30,   4.97E-010, 
 46.40,   3.96E-010, 
 46.50,   2.56E-010, 
 46.60,   1.67E-010, 
 46.70,  -2.87E-011, 
 46.80,  -3.15E-011, 
 46.90,   8.33E-011, 
 47.00,   2.33E-010, 
